Start Date,End Date,Customer Search Term,Search Term Impression Rank,Search Term Impression Share,Targeting,Match Type,Portfolio name,Campaign Name,Ad Group Name,Currency,Clicks,Impressions,Click-Thru Rate (CTR),Spend,Cost Per Click (CPC),7 Day Total Orders (#),7 Day Total Sales (₹),Total Advertising Cost of Sales (ACOS),Total Return on Advertising Spend (ROAS),7 Day Conversion Rate
"Feb 1, 2025","Mar 15, 2025",elder wand harry potter,2,29.21%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,5,121,4.1300%,Rs.10.58,Rs.2.116,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",elder wand harry potter,2,29.21%,"asin=""B0C5TKPBL3""",-,No Portfolio,Manual product targeting,wand PT,INR,33,520,6.3500%,Rs.165.1,Rs.5.003,2,Rs.1583.06,10.4300%,9.59,6.0600%
"Feb 1, 2025","Mar 15, 2025",elder wand harry potter,2,29.21%,elder wand harry potter,EXACT,No Portfolio,"Brand Analytics(hbd,wands,mry go kalimba",wands,INR,79,9125,0.8700%,Rs.88.01,Rs.1.1140999999999999,4,Rs.3763.55,2.3400%,42.76,5.0600%
"Feb 1, 2025","Mar 15, 2025",b0ckk1jkcr,1,82.23%,*,-,No Portfolio,SPA | SUPER HERO ASIN | ALL | VISIBILITY | DSTM e86995,Fusked - Action Dress Ups & Accessories,INR,2,514,0.3900%,Rs.2.0,Rs.1.0,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",b0ckk1jkcr,1,82.23%,"asin-expanded=""B08GYGJGFM""",-,No Portfolio,manual_wands_vt_boughtalong,wands,INR,47,4810,0.9800%,Rs.66.08,Rs.1.406,1,Rs.791.53,8.3500%,11.98,2.1300%
"Feb 1, 2025","Mar 15, 2025",b0ckk1jkcr,1,82.23%,"asin-expanded=""B0BRY19NSK""",-,No Portfolio,manual_wands_vt_boughtalong,wands,INR,29,5496,0.5300%,Rs.39.4,Rs.1.3586,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",b0ckk1jkcr,1,82.23%,"asin-expanded=""B09PYXPTDH""",-,No Portfolio,manual_wands_vt_boughtalong,wands,INR,14,121,11.5700%,Rs.42.95,Rs.3.0679000000000003,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wands,3,13.74%,*,-,No Portfolio,SPA | B0CLLTYSMY | ALL | VISIBILITY | DSTM 0506f3,Fusked - Action Dress Ups & Accessories,INR,94,7829,1.2000%,Rs.164.89,Rs.1.7541,5,Rs.4268.64,3.8600%,25.89,5.3200%
"Feb 1, 2025","Mar 15, 2025",harry potter wands,3,13.74%,harry potter light wands,BROAD,No Portfolio,manual_KT_lightwands_vt_test-19-09,lightwands_vt,INR,2,46,4.3500%,Rs.2.0,Rs.1.0,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wands,3,13.74%,"asin-expanded=""B0BRY19NSK""",-,No Portfolio,manual_wands_vt_boughtalong,wands,INR,1,37,2.7000%,Rs.1.12,Rs.1.12,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wands,3,13.74%,harry potter wand,EXACT,No Portfolio,"Brand Analytics(hbd,wands,mry go kalimba",wands,INR,1,27,3.7000%,Rs.2.52,Rs.2.52,0,Rs.0.0,,0.00,0.0000%
"Feb 1, 2025","Mar 15, 2025",harry potter wands,3,13.74%,*,-,No Portfolio,SPA | B0CLLT71RW | ALL | VISIBILITY | DSTM 653b7a,Fusked - Action Dress Ups & Accessories,INR,11,722,1.5200%,Rs.12.28,Rs.1.1164,0,Rs.0.0,,0.00,0.0000%
